token_id,token_address,decimals
0xtools,0xb5c23f694810a8a6a37fede38004150ee0dd3821,8
0xvpn-org,0xf898bae008cd85046431ab0a75f00689d6aa1b1c,18
1-up,0xc86817249634ac209bc73fca1712bbd75e37407d,18
11957-olga,0xdd833d0eef6d5d7cec781b03c19f3b425f3039df,18
12405-santa-rosa,0x9d918ee39a356be8ef99734599c7e70160db4db6,18
12ships,0x525794473f7ab5715c81d06d10f52d11cc052804,18
14066-santa-rosa,0xe887dc4fcb5240c0c080aeab8870421d3ebd0b28,18
1617-s-avers,0xf4657ab08681214bcb1893aa8e9c7613459250ec,18
1815-s-avers,0x8fcb39a25e639c8fbd28e8a018227d6570e02352,18
1art,0xd3c325848d7c6e29b574cb0789998b2ff901f17e,18
1eco,0x1af2eaeaf2b1d9dda800861268e6bbb3995a6c3b,18
1ex,0x668d78571f124415581b38d32fa9a16f1aaa8417,18
1inch-yvault,0xb8c3b7a2a618c552c23b1e4701109a9e756bab67,18
1inch,0x111111111117dc0aa78b770fa6a738034120c302,18
1million-token,0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce,7
1million-nfts,0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016,18
1peco,0x7169ba45cf03e0377b464462aacbccdf1f721125,18
1sol,0x009178997aff09a67d4caccfeb897fb79d036214,18
1world,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23,8
1x-long-btc-implied-volatility-token,0x81824663353a9d29b01b2de9dd9a2bb271d298cd,18
1x-short-btc-implied-volatility,0x627e2ee3dbda546e168eaaff25a2c5212e4a95a0,18
28vck,0xfa5b75a9e13df9775cf5b996a049d9cc07c15731,18
2crazynft,0x2c9c19ce3b15ae77c6d80aec3c1194cfd6f7f3fa,18
2dai-io,0xb44b653f147569d88a684cbf6549e1968e8b2a1d,18
2key,0xe48972fcd82a274411c01834e2f031d4377fa2c0,18
300fit,0x3c72fca8523686fd9e5740b0826fa4bb376e0241,18
3a-lending-protocol,0x3f817b28da4940f018c6b5c0a11c555ebb1264f9,18
3d3d,0xfe60fba03048effb4acf3f0088ec2f53d779d3bb,18
3gg,0xdae5add81b1fa1b04c0df225f0c3a029b93cb91b,18
3space-art,0x8bc2bcb1b1896291942c36f3cca3c1afa0aaa7fd,18
404-bakery,0x44face2e310e543f6d85867eb06fb251e3bfe1fc,9
404aliens,0xd0d19f52ad8705e60ff31df75a7aca8f1399a69e,18
404blocks,0x45b3cf56896c4547426a4145ad1d0ae971120214,18
404wheels,0x05bd6b9bc125fee6e670420f11d4e1817c0fc132,18
4096,0x4096fc7119040175589387656f7c6073265f4096,0
4852-4854-w-cortez,0xe7b6de709ffc3bd237c2f2c800e1002f97a760f3,18
4artechnologies,0xff44b5719f0b77a9951636fc5e69d3a1fc9e7d73,18
4chan,0xe0a458bf4acf353cb45e211281a334bb1d837885,9
4new,0x241ba672574a78a3a604cdd0a94429a73a84a324,18
5ire,0x3bd7d4f524d09f4e331577247a048d56e4b67a7f,18
5km-run,0x5f4c148d17effd165c2e2d46b46d2bd6e3ebdc3e,18
69420,0x69cbaf6c147086c3c234385556f8a0c6488d3420,9
88mph,0x8888801af4d980682e47f1a9036e589479e835c5,18
8bit-chain,0xbc6378faae98fb2207bb6c35c0f8ce5846fd4c6c,18
8pay,0x06ddb3a8bc0abc14f85e974cf1a93a6f8d4909d9,18
8x8-protocol,0x412d397ddca07d753e3e0c61e367fb1b474b3e7d,18
9-lives-network,0xe78bff28d3c5195c752e734e95421bb4bd742f1d,18
99starz,0x3f5294df68f871241c4b18fcf78ebd8ac18ab654,18
a-fund-baby,0x66861d5f0fbfb7b2711712fef2172c560d08d0ab,18
a-hunters-dream,0xf3b9569f82b18aef890de263b84189bd33ebe452,18
a4-finance,0x9767203e89dcd34851240b3919d4900d3e5069f1,6
aag-ventures,0x5ba19d656b65f1684cfea4af428c23b9f3628f97,18
aardvark,0xd0e94bf2466979b81d738c34058d4a6559c4d8be,18
aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
aave-usdc,0xbcca60bb61934080951369a648fb03df4f96263c,6
aave-aave,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,18
aave-amm-bptbalweth,0xd109b2a304587569c84308c55465cd9ff0317bfb,18
aave-amm-bptwbtcweth,0x358bd0d980e031e23eba9aa793926857703783bd,18
aave-amm-dai,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,18
aave-amm-uniaaveweth,0xe59d2ff6995a926a574390824a657eed36801e55,18
aave-amm-unibatweth,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4,18
aave-amm-unicrvweth,0x0ea20e7ffb006d4cfe84df2f72d8c7bd89247db0,18
aave-amm-unidaiusdc,0xe340b25fe32b1011616bb8ec495a4d503e322177,18
aave-amm-unidaiweth,0x9303eabc860a743aabcc3a1629014cabcc3f8d36,18
aave-amm-unilinkweth,0xb8db81b84d30e2387de0ff330420a4aaa6688134,18
aave-amm-unimkrweth,0x370adc71f67f581158dc56f539df5f399128ddf9,18
aave-amm-unirenweth,0xa9e201a4e269d6cd5e9f0fcbcb78520cf815878b,18
aave-amm-unisnxweth,0x38e491a71291cd43e8de63b7253e482622184894,18
aave-amm-uniuniweth,0x3d26dcd840fcc8e4b2193ace8a092e4a65832f9f,18
aave-amm-uniusdcweth,0x391e86e2c002c70dee155eaceb88f7a3c38f5976,18
aave-amm-uniwbtcusdc,0x2365a4890ed8965e564b7e2d27c38ba67fec4c6f,18
aave-amm-uniwbtcweth,0xc58f53a8adff2fb4eb16ed56635772075e2ee123,18
aave-amm-uniyfiweth,0x5394794be8b6ed5572fcd6b27103f46b5f390e8f,18
aave-amm-usdc,0xd24946147829deaa935be2ad85a3291dbf109c80,6
aave-amm-usdt,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,6
aave-amm-wbtc,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,8
aave-amm-weth,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,18
aave-bal,0x272f97b7a56a387ae942350bbc7df5700f8a4576,18
aave-balancer-pool-token,0x41a08648c3766f9f9d85598ff102a08f4ef84f84,18
aave-bat,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,18
aave-bat-v1,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00,18
aave-snx-v1,0x328c4c80bc7aca0834db37e6600a6c49e12da4de,18
